[library] 6426 panels to classify (0 already done) with qwen/qwen3-vl-8b-instruct, concurrency 24
[library] 3400/6426 classified (3158 failed, 45s)
[library] 3425/6426 classified (3183 failed, 45s)
[library] 3450/6426 classified (3208 failed, 46s)
[library] 3475/6426 classified (3233 failed, 46s)
[library] 3500/6426 classified (3258 failed, 46s)
[library] 3525/6426 classified (3283 failed, 46s)
[library] 3550/6426 classified (3308 failed, 46s)
[library] 3575/6426 classified (3333 failed, 46s)
[library] 3600/6426 classified (3358 failed, 46s)
[library] 3625/6426 classified (3383 failed, 46s)
[library] 3650/6426 classified (3408 failed, 47s)
[library] 3675/6426 classified (3432 failed, 48s)
[library] 3700/6426 classified (3457 failed, 48s)
[library] 3725/6426 classified (3482 failed, 48s)
[library] 3750/6426 classified (3507 failed, 49s)
[library] 3775/6426 classified (3532 failed, 49s)
[library] 3800/6426 classified (3557 failed, 49s)
[library] 3825/6426 classified (3582 failed, 49s)
[library] 3850/6426 classified (3607 failed, 49s)
[library] 3875/6426 classified (3632 failed, 49s)
[library] 3900/6426 classified (3657 failed, 49s)
[library] 3925/6426 classified (3682 failed, 50s)
[library] 3950/6426 classified (3707 failed, 50s)
[library] 3975/6426 classified (3732 failed, 50s)
[library] 4000/6426 classified (3757 failed, 50s)
[library] 4025/6426 classified (3782 failed, 50s)
[library] 4050/6426 classified (3807 failed, 50s)
[library] 4075/6426 classified (3832 failed, 50s)
[library] 4100/6426 classified (3857 failed, 51s)
[library] 4125/6426 classified (3882 failed, 51s)
[library] 4150/6426 classified (3907 failed, 51s)
[library] 4175/6426 classified (3932 failed, 51s)
[library] 4200/6426 classified (3957 failed, 51s)
[library] 4225/6426 classified (3982 failed, 52s)
[library] 4250/6426 classified (4007 failed, 52s)
[library] 4275/6426 classified (4032 failed, 52s)
[library] 4300/6426 classified (4057 failed, 52s)
[library] 4325/6426 classified (4082 failed, 52s)
[library] 4350/6426 classified (4107 failed, 52s)
[library] 4375/6426 classified (4132 failed, 52s)
[library] 4400/6426 classified (4157 failed, 52s)
[library] 4425/6426 classified (4182 failed, 53s)
[library] 4450/6426 classified (4207 failed, 53s)
[library] 4475/6426 classified (4232 failed, 53s)
[library] 4500/6426 classified (4257 failed, 53s)
[library] 4525/6426 classified (4282 failed, 53s)
[library] 4550/6426 classified (4307 failed, 53s)
[library] 4575/6426 classified (4332 failed, 53s)
[library] 4600/6426 classified (4357 failed, 54s)
[library] 4625/6426 classified (4382 failed, 54s)
[library] 4650/6426 classified (4407 failed, 54s)
[library] 4675/6426 classified (4432 failed, 54s)
[library] 4700/6426 classified (4457 failed, 54s)
[library] 4725/6426 classified (4482 failed, 54s)
[library] 4750/6426 classified (4507 failed, 54s)
[library] 4775/6426 classified (4532 failed, 54s)
[library] 4800/6426 classified (4557 failed, 55s)
[library] 4825/6426 classified (4582 failed, 55s)
[library] 4850/6426 classified (4607 failed, 55s)
[library] 4875/6426 classified (4632 failed, 55s)
[library] 4900/6426 classified (4657 failed, 55s)
[library] 4925/6426 classified (4682 failed, 55s)
